dma_code,dma_name,zip_code,city,state
528,MIAMI - FT. LAUDERDALE,33001,Long Key,FL
528,MIAMI - FT. LAUDERDALE,33002,Hialeah,FL
528,MIAMI - FT. LAUDERDALE,33004,Dania,FL
528,MIAMI - FT. LAUDERDALE,33008,Hallandale,FL
528,MIAMI - FT. LAUDERDALE,33009,Hallandale,FL
528,MIAMI - FT. LAUDERDALE,33010,Hialeah,FL
528,MIAMI - FT. LAUDERDALE,33011,Hialeah,FL
528,MIAMI - FT. LAUDERDALE,33012,Hialeah,FL
528,MIAMI - FT. LAUDERDALE,33013,Hialeah,FL
528,MIAMI - FT. LAUDERDALE,33014,Hialeah,FL
528,MIAMI - FT. LAUDERDALE,33015,Hialeah,FL
528,MIAMI - FT. LAUDERDALE,33016,Hialeah,FL
528,MIAMI - FT. LAUDERDALE,33017,Hialeah,FL
528,MIAMI - FT. LAUDERDALE,33018,Hialeah,FL
528,MIAMI - FT. LAUDERDALE,33019,Hollywood,FL
528,MIAMI - FT. LAUDERDALE,33020,Hollywood,FL
528,MIAMI - FT. LAUDERDALE,33021,Hollywood,FL
528,MIAMI - FT. LAUDERDALE,33022,Hollywood,FL
528,MIAMI - FT. LAUDERDALE,33023,Hollywood,FL
528,MIAMI - FT. LAUDERDALE,33024,Hollywood,FL
528,MIAMI - FT. LAUDERDALE,33025,Hollywood,FL
528,MIAMI - FT. LAUDERDALE,33026,Hollywood,FL
528,MIAMI - FT. LAUDERDALE,33027,Hollywood,FL
528,MIAMI - FT. LAUDERDALE,33028,Pembroke Pines,FL
528,MIAMI - FT. LAUDERDALE,33029,Hollywood,FL
528,MIAMI - FT. LAUDERDALE,33030,Homestead,FL
528,MIAMI - FT. LAUDERDALE,33031,Homestead,FL
528,MIAMI - FT. LAUDERDALE,33032,Homestead,FL
528,MIAMI - FT. LAUDERDALE,33033,Homestead,FL
528,MIAMI - FT. LAUDERDALE,33034,Homestead,FL
528,MIAMI - FT. LAUDERDALE,33035,Homestead,FL
528,MIAMI - FT. LAUDERDALE,33036,Islamorada,FL
528,MIAMI - FT. LAUDERDALE,33037,Key Largo,FL
528,MIAMI - FT. LAUDERDALE,33039,Homestead,FL
528,MIAMI - FT. LAUDERDALE,33040,Key West,FL
